ID,Gown,Main Source,Weight,Reusable,Longevity,Price,Comfort,Hygiene,Production-Cost,Production-CO2,Production-Energy,Production-Water,Use-Cost,Use-CO2,Use-Energy,Use-Water,LOST-Cost,LOST-CO2,LOST-Energy,LOST-Water,EOL-Cost,EOL-CO2,EOL-Energy,EOL-Water
GW001,Lyocell,Anton,300,TRUE,50,0,4,5,0,3.453,40.05,92.88,0,0.00408,0.0558,2.82,0,-0.363,-5.142,0,0,-0.363,-5.142,0
GW002,Org Cotton,Anton,300,TRUE,50,0,5,3,0,4.368,39.21,416.58,0,0.00414,0.0558,4.32,0,-0.366,-5.175,0,0,-0.366,-5.175,0
GW003,Cotton GOTS,Anton,300,TRUE,65,0,5,4,0,2.094,25.77,169.38,0,0.00414,0.0558,4.32,0,-0.366,-5.175,0,0,-0.366,-5.175,0
GW004,R-Cotton,Anton,300,TRUE,50,0,5,3,0,2.133,22.56,67.08,0,0.00414,0.0558,4.32,0,-0.366,-5.175,0,0,-0.366,-5.175,0
GW005,Polyester,Anton,300,TRUE,50,0,4,4,0,4.59,53.82,23.28,0,0.0039,0.0522,2.82,0,0.1194,-8.0151,0,0,-0.276,-17.04,0
GW006,r-Polyester,Anton,300,TRUE,50,0,4,4,0,2.136,26.94,40.98,0,0.0039,0.0522,2.82,0,0.1194,-8.0151,0,0,-0.276,-17.04,0
GW007,PP-disposable,Anton,40,FALSE,1,0,1,3,0,0.1592,3.672,1.164,0,0,0,0,0,-0.01352,-1.9672,0,0,0.00984,-1.756,0
GW008,PET-Elastane (82-18),By-Wire,230,TRUE,50,0,3,3,0,1.02,34.85,0,0,0.004457743,0.075530479,1.4619375,0,0.089848085,-6.460357799,0,0,0.089848085,-6.460357799,0
GW009,PET-PE (65-35),By-Wire,65,TRUE,50,0,3,3,0,0.55,15.39,0,0,0.001259797,0.02134557,0.41315625,0,0.005591858,-2.296214333,0,0,0.005591858,-2.296214333,0
GW010,PET-Elastane (65-35),By-Wire,145,TRUE,50,0,3,3,0,0.78,24.94,0,0,0.002810316,0.047617041,0.92165625,0,0.05469447,-4.239602188,0,0,-0.059155411,-7.255611876,0
GW011,PET-Cotton (65-35),By-Wire,160,TRUE,50,0,3,3,0,1.53,32.46,0,0,0.003101039,0.052542942,1.017,0,-0.047541538,-4.27902218,0,0,-0.025956249,-3.769680732,0
GW012,PET-Elastane (65-35),By-Wire,190,TRUE,50,0,3,3,0,0.65,25.64,0,0,0.003682483,0.062394744,1.2076875,0,0.071668616,-5.555340798,0,0,-0.077513987,-9.507353492,0
